task_id,track_id_a,track_id_b,culture_a,culture_b,label_a,label_b,title_a,title_b,audio_path_a,audio_path_b,source_url_a,source_url_b,uncertainty,uncertainty_method,question,similar,rationale,annotator,notes
pal_0011,china_opencpop_0043,china_opencpop_0032,china,china,mandarin_pop,mandarin_pop,一路向北,千千万万,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0043.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0032.wav,,,1.5890276432037354,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0012,china_jingju_0071,modern_english_pop_0001,china,modern_english_pop,lsxp,['pop'],Qian_bai_wan,,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0071.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0001.mp3,,,1.5832593441009521,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0013,china_ctis_0000,china_ctis_0020,china,china,T0081,T0081,玄琴,玄琴,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0000.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0020.wav,,,1.545423984527588,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0014,china_jingju_0063,great_britain_0049,china,great_britain,lsxp,[],Guo_liao_yi,Not Fit For Human Consumption,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0063.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0049.mp3,,,1.5171072483062744,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0015,china_ctis_0029,india_saraga_0083,china,india,C0263,Raag Hameer,中音笙,Raag Hameer,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0029.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0083.mp3,,,1.4677350521087646,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0016,china_ctis_0001,china_ctis_0012,china,china,L0046,L0167,扬剧主胡F调,黔胡,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0001.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0012.wav,,,1.424130916595459,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0017,china_jingju_0038,china_jingju_0027,china,china,daxp,daxp,Zhe_cai_shi,Jiao_Zhang_sheng,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0038.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0027.wav,,,1.424130916595459,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0018,china_opencpop_0031,china_opencpop_0044,china,china,mandarin_pop,mandarin_pop,世界那么大还是遇见你,爱,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0031.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0044.wav,,,1.3579789400100708,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0019,china_ctis_0016,india_saraga_0057,china,india,L0164,Raag Multani,赣胡,Raag Multani,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0016.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0057.mp3,,,1.3579788208007812,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0020,china_ctis_0030,china_ctis_0003,china,china,L0167,L0167,黔胡,黔胡,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0030.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0003.wav,,,1.3522104024887085,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0021,france_0019,modern_english_pop_0097,france,modern_english_pop,"[107, 1235]","['folk', 'pop', 'singersongwriter', 'popfolk']",Mouvement 7,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0019.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0097.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0022,france_0035,turkey_modern_0119,france,turkey,[],,nigtfallleague,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0035.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0119.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0023,france_0054,great_britain_0043,france,great_britain,[10],[],Séducteur loser,Smallville,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0054.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0043.mp3,,,1.8636808395385742,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0024,france_0086,china_opencpop_0013,france,china,[10],mandarin_pop,L'amour & ...,大鱼,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0086.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0013.wav,,,1.8636808395385742,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0025,france_0009,modern_english_pop_0016,france,modern_english_pop,[10],"['groove', 'pop']",Le Philosophe,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0009.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0016.mp3,,,1.7917602062225342,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0026,france_0032,france_0039,france,france,[],[],1000 bouches-face B,Dead Chamber,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0032.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0039.mp3,,,1.7917602062225342,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0027,france_0039,france_0032,france,france,[],[],Dead Chamber,1000 bouches-face B,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0039.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0032.mp3,,,1.7917602062225342,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0028,france_0001,germany_0090,france,germany,"[17, 1235]","[1235, 4, 5]",Waves,Dance of Love,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0001.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0090.mp3,,,1.704552412033081,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0029,france_0075,germany_0058,france,germany,"[10, 76]","[17, 3, 4, 103]",judy oh,Buzzard,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0075.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0058.mp3,,,1.704552412033081,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0030,france_0083,italy_0012,france,italy,"[17, 10, 103]","[1235, 5]",To think of time,In Her Name,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0083.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0012.mp3,,,1.704552412033081,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0031,france_0028,turkey_modern_0048,france,turkey,"[10, 76]",,Rock'n Roll Boy,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0028.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0048.mp3,,,1.704552173614502,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0032,france_0067,france_0003,france,france,"[442, 5]","[17, 10, 103]",Camille Saint Saens - Carnaval des animaux - XII Fossiles,All in the Name of Love,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0067.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0003.mp3,,,1.6762359142303467,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0033,france_0014,france_0026,france,france,[],"[19, 14]",Smokey Tape : B1,Be Africa,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0014.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0026.mp3,,,1.6762357950210571,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0034,france_0056,great_britain_0028,france,great_britain,[10],"[17, 180, 103]",Le Dilettante,La Jardinera,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0056.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0028.mp3,,,1.6762357950210571,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0035,france_0069,india_saraga_0077,france,india,"[33, 17, 94]",Raag Lagan Gandhar,God Forsaken Town,Raag Lagan Gandhar,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0069.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0077.mp3,,,1.6609482765197754,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0036,france_0018,china_opencpop_0004,france,china,"[17, 103, 49]",mandarin_pop,Pie Bwa,漂洋过海来看你,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0018.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0004.wav,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0037,france_0022,france_0047,france,france,"[33, 17, 94]","[9, 4, 37]",It's Not Like You (Always),The Demon Inside Your Head,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0022.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0047.mp3,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0038,france_0031,turkey_modern_0083,france,turkey,[],,strawberrygirl,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0031.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0083.mp3,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0039,france_0102,france_0070,france,france,"[179, 4]","[179, 4]",Swing 39,Rythme Gitan,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0102.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0070.mp3,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0040,france_0068,france_0084,france,france,"[9, 137, 169]","[10, 76]",Rain on my grave,Lounge Light,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0068.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0084.mp3,,,1.5890278816223145,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0041,germany_0074,russia_0021,germany,russia,[17],[],Unless You Trade,Blind Alley (feat. Kira Lao),E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0074.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0021.mp3,,,1.9792050123214722,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0042,germany_0095,modern_english_pop_0069,germany,modern_english_pop,"[17, 3, 4, 103]","['folk', 'instrumentalpop']",Springtime,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0095.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0069.mp3,,,1.9792050123214722,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0043,germany_0085,turkey_modern_0067,germany,turkey,"[17, 3, 4, 103]",,Indian Summer,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0085.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0067.mp3,,,1.9072847366333008,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0044,germany_0066,india_saraga_0037,germany,india,"[107, 1235]",Irani Bhairavi Thumri,Island,Irani Bhairavi Thumri,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0066.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0037.mp3,,,1.8636807203292847,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0045,germany_0060,germany_0003,germany,germany,"[322, 4, 5]","[322, 4, 5]",glonn,when,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0060.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0003.mp3,,,1.8636806011199951,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0046,germany_0084,russia_0103,germany,russia,"[17, 107, 4, 1235]","[107, 18, 1235, 5]",Isle of the little branches (ID 358),Jump In Infinity,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0084.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0103.mp3,,,1.8636806011199951,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0047,germany_0049,modern_english_pop_0012,germany,modern_english_pop,"[17, 103]","['pop', 'minimal']",Schankeshaus,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0049.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0012.mp3,,,1.8200767040252686,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0048,germany_0027,turkey_modern_0116,germany,turkey,"[10, 76]",,Supergenug,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0027.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0116.mp3,,,1.820076584815979,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0049,germany_0013,germany_0076,germany,germany,"[10, 76]","[107, 1235]",Flying,II,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0013.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0076.mp3,,,1.7917600870132446,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
