task_id,track_id_a,track_id_b,judgment,similar,rationale,annotator,timestamp
pal_0039,russia_0046,germany_0056,b,no,"第一首类似城市的环境声，第二首是舒缓的氛围安静音乐",卞卓贤,1776262092003
pal_0040,russia_0103,italy_0005,b,no,"第一首有点紧张感，第二首类似舒缓的爵士乐",卞卓贤,1776262124056
pal_0041,turkey_modern_0021,germany_0051,b,no,"第一首有一点紧迫感，第二首适合安静氛围下欣赏",卞卓贤,1776262157574
pal_0042,turkey_modern_0067,germany_0085,b,no,"第一首有点紧张感和压迫感，第二首悠扬轻快",卞卓贤,1776262183412
pal_0043,germany_0024,great_britain_0096,a,yes,"都类似氛围背景音",卞卓贤,1776262231308
pal_0044,italy_0065,russia_0015,b,no,"第一首意识流，第二首有种迷幻的感觉",卞卓贤,1776262268088
pal_0045,france_0087,germany_0003,b,no,"第一首类似庄严的教堂音乐，第二首是舒缓的钢琴独奏曲",卞卓贤,1776262297444
pal_0046,great_britain_0055,france_0043,b,no,"第一首类似后朋，较安静，第二首电子乐成分多",卞卓贤,1776262337870
pal_0047,great_britain_0094,india_saraga_0100,a,yes,"都类似有氛围感的环境音",卞卓贤,1776262415541
pal_0048,india_saraga_0059,india_saraga_0058,a,yes,"都像是世界音乐",卞卓贤,1776262436137
pal_0049,india_saraga_0073,turkey_modern_0108,a,yes,"都像是带有当地特色的世界音乐，适合欣赏",卞卓贤,1776262460743
pal_0050,russia_0089,great_britain_0031,b,no,"第一首节奏较快，第二首适合一些特定场合使用",卞卓贤,1776262526513
pal_0051,germany_0054,germany_0084,a,yes,"都属于比较安静的氛围音",卞卓贤,1776342796688
pal_0052,turkey_modern_0030,russia_0033,b,no,"第一首略带紧张，第二首像是在胡乱吹奏乐器",卞卓贤,1776342843873
pal_0053,china_ctis_0064,china_jingju_0068,b,no,"第一首像是练习，第二首是戏腔，适合欣赏",卞卓贤,1776342892869
pal_0054,france_0083,italy_0004,a,yes,"都适合在安静环境下欣赏",卞卓贤,1776342924782
pal_0055,germany_0095,modern_english_pop_0069,a,yes,"都适合沉浸式欣赏",卞卓贤,1776342942205
pal_0056,great_britain_0051,italy_0014,b,no,"第一首适合沉浸式欣赏，第二首像是特定环境下使用的音乐",卞卓贤,1776343004477
pal_0057,india_saraga_0024,india_saraga_0018,a,yes,"两段都是念白",卞卓贤,1776343690456
pal_0058,india_saraga_0030,india_saraga_0037,a,yes,"两段都类似祭祀或者其他特定场合下使用的音乐",卞卓贤,1776343759525
pal_0059,india_saraga_0050,germany_0027,a,yes,"都像是特定场合下使用的音乐",卞卓贤,1776343788541
pal_0060,india_saraga_0105,china_jingju_0068,a,yes,"都适合特定场合使用",卞卓贤,1776343898305
pal_0061,indonesia_fma_0009,indonesia_fma_0012,a,yes,"都适合安静欣赏",卞卓贤,1776343958710
pal_0062,italy_0075,india_saraga_0007,a,yes,"都适合比较安静的氛围下欣赏",卞卓贤,1776343987090
pal_0063,russia_0002,china_opencpop_0030,a,yes,"都适合安静欣赏",卞卓贤,1776344092338
pal_0064,russia_0040,italy_0095,a,yes,"都像是胡乱演奏",卞卓贤,1776344106963
pal_0065,russia_0062,great_britain_0031,a,yes,"两首歌都略显怪异",卞卓贤,1776344138951
pal_0066,turkey_modern_0139,india_saraga_0063,b,no,"第一首歌比较带感，第二首歌像是特定场合使用的音乐",卞卓贤,1776344164519
pal_0067,china_ctis_0000,china_ctis_0020,a,yes,"都像是胡乱演奏",卞卓贤,1776344176654
pal_0068,china_ctis_0006,russia_0038,b,no,"第一首像是随意演奏，第二首更有旋律性，适合欣赏",卞卓贤,1776344205477
pal_0069,china_ctis_0036,china_ctis_0029,a,yes,"两首歌都是悠扬的乐器吹奏",卞卓贤,1776344230521
pal_0070,china_ctis_0059,great_britain_0089,b,no,"第一首像是随意弹奏，第二首是一段念白",卞卓贤,1776344274095
pal_0071,france_0002,great_britain_0052,b,no,"第一首适合安静欣赏，第二首比较带感",卞卓贤,1776344292575
pal_0072,france_0015,turkey_modern_0075,b,no,"第一首比较悠扬舒缓，第二首略带紧张感",卞卓贤,1776344317970
pal_0073,france_0055,italy_0095,b,no,"第一首比较庄重肃穆，第二首比较个性化和随意",卞卓贤,1776344354054
pal_0074,france_0056,great_britain_0028,a,yes,"都适合安静欣赏",卞卓贤,1776344629907
pal_0075,france_0057,china_opencpop_0013,b,no,"第一首比较带感，第二首比价安静忧伤",卞卓贤,1776344649415
pal_0076,france_0078,turkey_modern_0048,b,no,"第一首比较带感，节奏感强，第二首像是电影配乐，有紧张感",卞卓贤,1776344683217
pal_0077,germany_0038,germany_0059,a,yes,"都是比较轻快的钢琴独奏",卞卓贤,1776344707090
pal_0078,germany_0052,germany_0015,a,yes,"都适合安静氛围下欣赏",卞卓贤,1776345333712
pal_0079,germany_0057,china_ctis_0000,b,no,"第一段是讲话，第二段像是音阶演奏",卞卓贤,1776345376499
pal_0080,germany_0060,germany_0003,a,yes,"都是安静的钢琴独奏曲",卞卓贤,1776345397238
pal_0081,germany_0064,france_0020,a,yes,"都是安静的器乐独奏曲",卞卓贤,1776345428940
pal_0082,germany_0079,germany_0036,a,yes,"都是比较带感的钢琴曲",卞卓贤,1776345463673
pal_0083,great_britain_0012,india_saraga_0106,b,no,"第一首比较轻快带感，第二首像是特定场合使用的音乐",卞卓贤,1776345490486
pal_0084,great_britain_0029,russia_0069,b,no,"第一首偏轻柔，第二首偏忧郁又有些紧张的氛围",卞卓贤,1776345549400
pal_0085,great_britain_0031,france_0103,b,no,"第一首比较安静，第二首像是比较有节奏感的布鲁斯或者放克",卞卓贤,1776345594962
pal_0086,great_britain_0045,italy_0010,a,yes,"都比较欢快，充满能量",卞卓贤,1776347276596
pal_0087,great_britain_0063,indonesia_fma_0001,b,no,"第一首更像是突出鼓的乐器演奏，第二首是比较舒缓的流行曲",卞卓贤,1776347307967
pal_0088,great_britain_0074,turkey_modern_0092,b,no,"第一首是节奏较快的摇滚朋克音乐，第二首比较氛围",卞卓贤,1776347371208
pal_0089,great_britain_0083,germany_0070,a,yes,"都适合安静欣赏",卞卓贤,1776347385826
pal_0090,india_saraga_0011,india_saraga_0009,a,yes,"都像是特定场合下的音乐",卞卓贤,1776347404449
pal_0091,india_saraga_0013,france_0054,b,no,"第一首像是特定场合的音乐，第二首比较带感，节奏感较强",卞卓贤,1776347440411
pal_0092,indonesia_gamelan_0006,italy_0052,a,yes,"都适合安静欣赏",卞卓贤,1776347459851
pal_0093,italy_0030,russia_0093,a,yes,"都是安静舒缓的音乐，主奏乐器都是钢琴",卞卓贤,1776347489604
pal_0094,italy_0042,italy_0104,a,yes,"都是节奏比较舒缓的爵士乐",卞卓贤,1776347506434
pal_0095,italy_0068,italy_0047,a,yes,"都适合安静欣赏",卞卓贤,1776347520534
pal_0096,italy_0076,italy_0100,b,no,"第一首类似意识流的配乐，第二首类似爵士融合类音乐，节奏感比较强",卞卓贤,1776347562063
pal_0097,italy_0082,china_opencpop_0037,b,no,"第一首适合安静欣赏，第二首则是比较带感的流行歌曲",卞卓贤,1776347588575
pal_0098,italy_0088,france_0082,a,yes,"都适合安静欣赏，第二首类似中西部情绪摇滚",卞卓贤,1776347613851
pal_0099,italy_0102,italy_0100,a,yes,"都类似舒缓又带有节奏感的爵士乐",卞卓贤,1776347638174
pal_0100,modern_english_pop_0048,russia_0015,a,yes,"第一首就是吉他扫和弦，第二首则是安静的氛围音乐",卞卓贤,1776347666632
pal_0101,modern_english_pop_0049,russia_0077,a,yes,"都是比较安静的乐器独奏曲",卞卓贤,1776347701062
pal_0102,modern_english_pop_0061,germany_0038,b,no,"第一首是比较安静的电吉他过载solo，第二首节奏较轻快，比较欢快",卞卓贤,1776347743542
pal_0103,modern_english_pop_0062,great_britain_0092,a,yes,"都属于适合安静欣赏的曲目",卞卓贤,1776347772741
pal_0104,modern_english_pop_0066,russia_0029,a,yes,"都适合安静欣赏",卞卓贤,1776347786885
pal_0105,modern_english_pop_0069,germany_0095,a,yes,"都比较适合安静欣赏",卞卓贤,1776347806873
pal_0106,russia_0036,germany_0003,a,yes,"都是适合安静欣赏的比较优雅的钢琴独奏曲",卞卓贤,1776347906970
pal_0107,russia_0100,russia_0050,a,yes,"都是安静中带点欢快的弦乐钢琴合奏曲，有一点管乐",卞卓贤,1776347958262
pal_0108,turkey_modern_0051,great_britain_0012,b,no,"第一首像是略带紧张感的配乐，第二首类似情绪摇滚，比较舒缓",卞卓贤,1776348029041
pal_0109,turkey_modern_0066,turkey_modern_0041,a,yes,"两首歌都像是略带紧张感的配乐",卞卓贤,1776348050956
pal_0110,turkey_modern_0068,turkey_modern_0118,b,no,"第一首像是略带紧张感的配乐，第二首则较为欢乐，像游行的曲目",卞卓贤,1776348080777
pal_0111,turkey_modern_0085,india_saraga_0063,a,yes,"都是比较氛围的背景音",卞卓贤,1776412801855
pal_0112,turkey_modern_0087,indonesia_fma_0001,b,no,"第一首比较当地特色，较欢快，第二首比较安静舒缓",卞卓贤,1776412843690
pal_0113,turkey_modern_0088,italy_0088,b,no,"第一首适合一些比较庆典活动播放，第二首是安静的吉他独奏曲",卞卓贤,1776413040836
pal_0114,turkey_modern_0147,turkey_modern_0126,a,yes,"都是比较欢快的带有地域特色的音乐",卞卓贤,1776413120420
pal_0115,china_jingju_0077,indonesia_fma_0012,a,yes,"都适合静静欣赏",卞卓贤,1776413153540
pal_0116,france_0020,germany_0000,a,yes,"都是适合安静欣赏的曲目",卞卓贤,1776413242026
pal_0117,france_0024,france_0071,a,yes,"都是比较带感的爵士曲目",卞卓贤,1776413257500
pal_0118,france_0035,turkey_modern_0119,b,no,"第一首适合安静氛围下欣赏，第二首像是欢快的节日庆典音乐",卞卓贤,1776413363775
pal_0119,france_0063,france_0023,a,yes,"都适合比较安静放松的氛围下欣赏，不过第二首像是偏欢快的蓝调",卞卓贤,1776413443463
pal_0120,france_0073,turkey_modern_0099,a,yes,"都像是电台音乐和播报",卞卓贤,1776413467576
pal_0121,france_0084,france_0016,b,no,"第一首像是夹杂电子和人声的奇怪背景音，第二首是比较舒缓的流行民谣",卞卓贤,1776414043130
pal_0122,france_0098,great_britain_0044,b,no,"第一首像是电影配乐，有点阴暗的氛围，第二首是类似比较轻快的布鲁斯",卞卓贤,1776414176510
pal_0123,france_0104,france_0032,b,no,"第一首像是比较安静的寺庙音乐，第二首类似电影配乐，带点紧张感",卞卓贤,1776414223670
pal_0124,germany_0008,great_britain_0028,a,yes,"都是比较安静舒缓的流行歌",卞卓贤,1776414244400
pal_0125,germany_0055,indonesia_gamelan_0031,a,yes,"都很安静舒缓",卞卓贤,1776414589452
pal_0126,germany_0062,germany_0041,a,yes,"都比较恢宏大气庄严有气势",卞卓贤,1776414621853
pal_0127,great_britain_0009,great_britain_0085,a,yes,"第一首是典雅的古典交响乐，第二首是歌剧",卞卓贤,1776414723861
pal_0128,great_britain_0018,india_saraga_0095,b,no,"第一首比较安静舒缓，第二首较欢快",卞卓贤,1776414772340
pal_0129,great_britain_0025,great_britain_0101,a,yes,"都是比较安静舒缓的流行乐，类似民谣",卞卓贤,1776414808821
pal_0130,great_britain_0035,russia_0063,a,yes,"第一首类似lofi，第二首比较安静又比较沉浸式",卞卓贤,1776414855127
pal_0131,great_britain_0040,china_opencpop_0040,b,no,"第一首的钢琴给人一种杂乱无章和挣扎的感觉， 第二首就是舒缓的流行乐曲",卞卓贤,1776415551723
pal_0132,great_britain_0048,italy_0019,a,yes,"都是带感的电子音乐",卞卓贤,1776415567713
pal_0133,great_britain_0050,great_britain_0096,b,no,"第一首像是胡乱演奏，第二首氛围感较强",卞卓贤,1776415597202
pal_0134,great_britain_0080,great_britain_0023,a,yes,"第一首是较舒缓的吉他曲，第二首是是民谣弹唱",卞卓贤,1776416087632
pal_0135,great_britain_0097,germany_0090,a,yes,"都比较安静或深情",卞卓贤,1776416116215
pal_0136,india_saraga_0004,india_saraga_0001,a,yes,"都类似特定场合比如庆典上的音乐",卞卓贤,1776416234641
pal_0137,india_saraga_0049,india_saraga_0074,a,yes,"都是有当地特色的音乐，可能是中东的或者印度的",卞卓贤,1776416280329
pal_0138,india_saraga_0079,india_saraga_0078,a,yes,"都是富有当地特色的音乐，比较悠扬",卞卓贤,1776416301811
pal_0139,india_saraga_0084,great_britain_0060,a,yes,"第一首比较舒缓悠扬，第二首像是小提琴独奏，旋律性不强",卞卓贤,1776416359427
pal_0140,india_saraga_0102,turkey_modern_0106,a,yes,"都是富有当地特色的音乐",卞卓贤,1776416507464
pal_0141,indonesia_fma_0001,germany_0070,a,yes,"都比较安静舒缓，第一首更为深情",卞卓贤,1776416566714
pal_0142,indonesia_fma_0006,indonesia_fma_0004,a,yes,"都是比较安静的钢琴伴唱",卞卓贤,1776416796175
pal_0143,indonesia_fma_0014,turkey_modern_0041,a,yes,"第一首是比较热血充满能量的摇滚乐，第二首则比较带感",卞卓贤,1776416831125
pal_0144,indonesia_fma_0016,indonesia_fma_0017,a,yes,"这两首是同一首歌曲",卞卓贤,1776416855538
pal_0145,indonesia_fma_0017,indonesia_fma_0016,a,yes,"这两首歌是同一首歌曲",卞卓贤,1776416872023
pal_0146,italy_0007,indonesia_fma_0015,b,no,"第一首是长笛和弦乐，比较安静，第二首类似碎核，还有电子乐，节奏感较强",卞卓贤,1776416930681
pal_0147,italy_0022,russia_0047,b,no,"第一首是安静的钢琴曲，第二首节奏感较强，比较欢快",卞卓贤,1776416980984
pal_0148,italy_0027,india_saraga_0098,a,yes,"第一首是比较舒缓宁静的长笛和吉他演奏，第二首像是世界音乐",卞卓贤,1776417027627
pal_0149,italy_0055,china_opencpop_0016,a,yes,"两首歌都比较安静舒缓，第一首更有氛围感",卞卓贤,1776417057979
pal_0150,italy_0066,italy_0104,b,no,"第一首比较安静舒缓，第二首是爵士乐，节奏感更强旋律更复杂",卞卓贤,1776417115984
pal_0151,italy_0072,russia_0088,a,yes,"都比较悠扬，第一首还有点庄重",卞卓贤,1776418596394
pal_0152,modern_english_pop_0018,italy_0043,a,yes,"都比较带感但是不会特别吵闹",卞卓贤,1776499282932
pal_0153,modern_english_pop_0075,modern_english_pop_0047,a,yes,"都比较安静舒缓",卞卓贤,1776499296198
pal_0154,russia_0093,italy_0030,a,yes,"都是安静舒缓的钢琴独奏曲",卞卓贤,1776499318158
pal_0155,turkey_modern_0090,italy_0100,b,no,"第一首比较有气势，第二首比较轻松诙谐",卞卓贤,1776499472652
pal_0156,turkey_modern_0093,great_britain_0100,b,no,"第一首是比较有气势的配乐，第二首比较轻快",卞卓贤,1776499757305
pal_0157,turkey_modern_0101,turkey_modern_0119,a,yes,"两首歌都比较欢快，像节日庆典音乐",卞卓贤,1776500487848
pal_0158,turkey_modern_0105,india_saraga_0059,b,no,"第一首比较欢快，类似节日庆典，第二首像是比较安静些的街头音乐",卞卓贤,1776500524055
pal_0159,turkey_modern_0142,great_britain_0091,a,yes,"第一首像是比较欢快的节日庆典音乐，第二首音乐没有那么欢乐，不过也比较喜庆",卞卓贤,1776500579162
pal_0160,france_0023,france_0102,a,yes,"两首歌都比较轻快诙谐",卞卓贤,1776500600027
pal_0161,germany_0028,germany_0062,b,no,"第一首是欢乐的生日歌，第二首是略比较宏伟有气势的配乐",卞卓贤,1776500707090
pal_0162,indonesia_gamelan_0009,indonesia_gamelan_0008,a,yes,"都是比较安静的的音乐",卞卓贤,1776500772078
pal_0163,italy_0077,great_britain_0063,b,no,"第一首是比较带感多变，第二首是架子鼓独奏",卞卓贤,1776500837817
pal_0164,modern_english_pop_0021,germany_0011,b,no,"第一首是比较安静的钢琴曲，第二首类似融合，比较带感",卞卓贤,1776501513988
pal_0165,russia_0009,turkey_modern_0128,b,no,"第一首是比较安静的弦乐，第二首类似比较欢快的节日庆典音乐",卞卓贤,1776501903159
pal_0166,russia_0083,italy_0009,a,yes,"都是比较安静的钢琴曲",卞卓贤,1776501925457
pal_0167,turkey_modern_0078,russia_0049,a,yes,"都比较安静舒缓",卞卓贤,1776501946810
pal_0168,turkey_modern_0106,india_saraga_0102,b,no,"第一首比较轻快欢乐，第二首比较悠扬",卞卓贤,1776501973052
pal_0169,great_britain_0056,russia_0017,a,yes,"都比较带感，节奏感比较强",卞卓贤,1776501993010
pal_0170,germany_0096,china_jingju_0063,a,yes,"都适合沉浸式欣赏",卞卓贤,1776502031147
pal_0171,china_ctis_0009,china_opencpop_0025,a,yes,"都适合沉浸式欣赏",卞卓贤,1776502098437
pal_0172,china_ctis_0054,italy_0103,a,yes,"都适合放松或者沉浸式欣赏",卞卓贤,1776502127229
pal_0173,france_0001,germany_0090,a,yes,"都是比较安静适合沉浸式欣赏的器乐曲",卞卓贤,1776502171016
pal_0174,france_0009,modern_english_pop_0016,a,yes,"都比较情感充沛",卞卓贤,1776502194732
pal_0175,france_0026,italy_0101,a,yes,"都节奏感比较强，比奥欢快",卞卓贤,1776502215018
pal_0176,france_0036,germany_0028,a,yes,"第一首是比较带感节奏感强的电子乐，第二首是欢乐的生日歌",卞卓贤,1776502261338
pal_0177,france_0046,great_britain_0046,b,no,"第一首是高技术的鼓solo，类似gospel，节奏感强，适合欣赏，第二首比较舒缓",卞卓贤,1776502319857
pal_0178,france_0067,france_0003,a,yes,"都比较安静舒缓，适合专注或者作为学习工作的背景音乐，也可以沉浸式欣赏",卞卓贤,1776502383761
pal_0179,france_0085,great_britain_0102,a,yes,"都比较欢快带感",卞卓贤,1776502403240
pal_0180,france_0096,turkey_modern_0146,b,no,"第一首比较轻快，第二首类似节日庆典音乐，很喜庆",卞卓贤,1776502447844
pal_0181,germany_0069,italy_0094,a,yes,"都比较适合沉浸式欣赏",卞卓贤,1776503620045
pal_0182,germany_0074,russia_0021,a,yes,"都比较适合欣赏或者专注式聆听",卞卓贤,1776503657822
pal_0183,germany_0081,italy_0042,a,yes,"第一首是舒缓的钢琴曲，第二首是比较带感的爵士曲，很有氛围感",卞卓贤,1776503687419
pal_0184,germany_0087,china_ctis_0048,a,yes,"两首歌都有独特的感觉",卞卓贤,1776503748378
pal_0185,great_britain_0011,russia_0037,a,yes,"都是沉浸式音乐很有氛围感，适合欣赏或者专注时的背景音",卞卓贤,1776503934133
pal_0186,great_britain_0037,modern_english_pop_0010,a,yes,"都是悠扬并且旋律性较强的流行乐",卞卓贤,1776503964493
pal_0187,great_britain_0078,india_saraga_0070,b,no,"第一首起伏变化较大，比较肃穆，第二首比较欢快",卞卓贤,1776504013176
pal_0188,great_britain_0089,modern_english_pop_0073,b,no,"第一段是念白，第二首是好听的流行歌曲",卞卓贤,1776504038736
pal_0189,great_britain_0096,germany_0024,a,yes,"都比较适合沉浸式欣赏",卞卓贤,1776504058334
pal_0190,india_saraga_0000,india_saraga_0004,a,yes,"都是富有当地特色的音乐",卞卓贤,1776504076724
pal_0191,india_saraga_0080,india_saraga_0047,a,yes,"都是充满当地特色的地域音乐，适合沉浸式欣赏",卞卓贤,1776504113795
pal_0192,indonesia_gamelan_0008,germany_0018,a,yes,"都适合沉浸式欣赏或者专注时来听，第二首情感更为丰富",卞卓贤,1776504161330
pal_0193,italy_0026,russia_0102,a,yes,"第一首类似波萨诺瓦，第二首是类似比较安静的配乐",卞卓贤,1776504233056
pal_0194,italy_0040,indonesia_fma_0002,a,yes,"整体氛围接近",卞卓贤,1776504280440
pal_0195,italy_0056,turkey_modern_0012,b,no,"第一首安静舒缓，第二首略带紧张感，但是很有气势",卞卓贤,1776504309097
pal_0196,italy_0060,modern_english_pop_0045,b,no,"第一首更欢乐，第二首更为舒缓",卞卓贤,1776504357667
pal_0197,modern_english_pop_0070,india_saraga_0065,b,no,"第一首比较安静，第二首更有节日氛围和地域特色",卞卓贤,1776504401618
pal_0198,russia_0000,great_britain_0104,a,yes,"都适合沉浸式欣赏，很有旋律性",卞卓贤,1776504430958
pal_0199,turkey_modern_0084,russia_0007,b,no,"第一首类似略带紧张感的配乐，容易调动人的情绪，第二首略有些忧伤",卞卓贤,1776504478929
pal_0200,turkey_modern_0145,modern_english_pop_0028,a,yes,"第一首类似充满地域特色的庆典或者节日喜庆音乐，第二首也很轻快欢乐",卞卓贤,1776504519361
